time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-782.5897307055999,-555.2110789588528,1420.429712922068
32.00000000000,-996.4960694347295,-704.6042290926780,1834.042501606914
61.00000000000,-1164.807015002724,-833.2456042914904,2137.529794436578
92.00000000000,-1250.552685252406,-896.6666569701438,2276.409030328604
122.0000000000,-1218.746742823914,-870.8843440355566,2194.768418476863
153.0000000000,-1075.067371665147,-760.4719010490238,1909.906930845352
183.0000000000,-864.6693343047368,-601.4839018305257,1511.847609850041
214.0000000000,-634.6740090737476,-430.7676215876723,1093.114516700983
245.0000000000,-449.6820791519509,-297.2270898673042,772.4850723473868
275.0000000000,-353.8265232433924,-232.2535221137914,626.3219511529396
306.0000000000,-369.8007284781992,-246.8599029712211,684.4194301175154
336.0000000000,-500.2521330863310,-344.8368896080982,944.8617773891568
367.0000000000,-715.1046826504441,-505.2719142615514,1347.061884495036
398.0000000000,-947.3874552481137,-678.9201651253069,1767.044029432649
426.0000000000,-1116.122240410673,-804.9416099003635,2059.189446510720
457.0000000000,-1193.278407397413,-859.7021124922913,2172.423230542127
487.0000000000,-1148.742220460744,-824.1985786976667,2062.959122145192
518.0000000000,-989.5391784128605,-703.8554491656442,1752.040334315073
548.0000000000,-771.0589700085794,-541.7096450284805,1346.943861797008
579.0000000000,-547.3504419301695,-378.5281045111182,949.7361426386774
610.0000000000,-389.0444934180061,-265.8670071997200,685.5596592484158
640.0000000000,-345.6669458554459,-236.0633484855006,634.3694108653171
671.0000000000,-419.3970363122128,-290.8545394058599,793.9112010921268
701.0000000000,-595.1957002293823,-421.1552391651531,1130.715417342686
732.0000000000,-827.8860512370015,-594.1470379549924,1557.664109631441
