real_name,obj_1,obj_2
gen=5_member=57_de,-0.043828,44.3156
gen=5_member=55_de,9.95617,21.3423
gen=5_member=51_de,-0.0171117,51.4679
gen=4_member=41_de,2.94673,38.4833
gen=1_member=13_de,2.43398,37.2923
gen=2_member=27_de,6.77978,28.61
gen=0_member=1,1.83419,42.477
gen=5_member=54_de,6.36451,23.7489
gen=5_member=52_de,6.86344,24.7941
gen=4_member=49_de,5.20595,33.6867
gen=4_member=47_de,4.48623,32.5691
gen=5_member=56_de,0.455093,45.6589
gen=1_member=14_de,4.86615,34.0732
gen=1_member=15_de,7.52448,31.3301
gen=1_member=19_de,5.98779,30.8394
gen=4_member=42_de,3.66606,37.9588
gen=1_member=10_de,7.32906,29.5704
gen=0_member=2,4.09488,36.3599
gen=5_member=53_de,2.48328,40.9046
gen=0_member=8,5.76449,31.1514
gen=2_member=21_de,4.56964,32.7653
gen=4_member=46_de,6.26061,29.2987
gen=5_member=58_de,5.35661,31.8689
gen=3_member=39_de,3.66838,34.8248
gen=3_member=35_de,2.76487,38.1734
gen=2_member=23_de,2.92275,35.6439
gen=1_member=12_de,4.783,32.4927
gen=0_member=9,7.66434,29.3787
gen=2_member=29_de,2.66264,36.9718
gen=4_member=40_de,5.05182,30.1663
gen=4_member=44_de,3.74947,36.7762
gen=3_member=36_de,2.22592,38.3762
gen=4_member=48_de,4.83788,30.692
gen=3_member=37_de,2.31377,38.1213
